Date,Close,High,Low,Open,Volume,MA_10,MA_50,Returns
2020-03-12,475.5363159179688,492.5357258130127,469.1391701914128,485.378101545366,55970485,564.8481262207031,645.8150378417969,-0.07849679953569921
2020-03-13,494.4593505859375,509.982477758339,421.5855519763993,446.45836059532905,73297403,552.2797302246094,642.1977404785156,0.039793037954293675
2020-03-16,454.3765563964844,483.00714524632815,449.5898653118392,474.4403385952524,38482258,538.2798248291016,637.5488482666016,-0.08106388147368382
2020-03-17,450.9319152832031,474.1942690006391,448.78462201274766,468.49050072051966,45445979,524.4946411132812,632.8145092773437,-0.00758102737649935
2020-03-18,433.2615051269531,463.4131116395079,429.9063628131876,458.6711544738802,44730415,507.74798889160155,628.0457257080078,-0.039186426059801716
2020-03-19,410.5359497070313,432.5904563115507,399.128442171934,411.6095964210696,61404010,488.86969299316405,622.6157537841797,-0.05245228378473832
2020-03-20,455.3830871582031,462.9657149231966,416.0383696644293,420.2882223245293,63360475,475.7532958984375,618.1851684570313,0.10924046355301131
2020-03-23,395.4825134277344,424.9854448385333,391.7247351423912,409.8648934921591,40670949,458.44297790527344,612.2447686767578,-0.13153886347487231
2020-03-24,422.0329284667969,433.9325104811008,400.73893016882965,416.0383884925765,45734887,450.80442504882814,606.838505859375,0.06713423258324158
2020-03-25,484.14788818359375,515.1494403179707,430.9128936371874,431.15893082862937,73130298,447.61480102539065,602.7098840332031,0.14718036325377337
2020-03-26,476.9678955078125,499.6487095069807,466.29852893357656,490.209558827126,45744488,447.757958984375,598.5656042480468,-0.014830164193669892
2020-03-27,476.6994323730469,495.3540612398386,468.020791266076,489.8516259919914,41657940,445.9819671630859,594.4656121826172,-0.0005628536790297511
2020-03-30,460.9749755859375,480.81508630927294,456.30014975804846,465.5156291793591,30229866,446.6418090820313,589.9254254150391,-0.03298610344222941
2020-03-31,498.2395324707031,505.41952430798887,468.8260681247117,480.4348787671312,44292810,451.37257080078126,585.7449108886718,0.08083856794482025
2020-04-01,483.3426818847656,503.09329603601816,467.5734864710347,502.0420163417695,41597459,456.3806884765625,581.7017352294922,-0.029898973515943283
2020-04-03,482.0006103515625,507.4997575779397,472.53909292167856,507.4997575779397,41367807,463.52715454101565,577.6178472900391,-0.002776646018451734
2020-04-07,539.5526733398438,543.0867222762461,492.0884825342907,493.0279272504594,54373624,471.94411315917966,574.6899237060547,0.11940246910953878
2020-04-08,533.3119506835938,549.7969487728319,518.929571501776,527.8766166035285,49880330,485.7270568847656,571.6953387451172,-0.011566475275935129
2020-04-09,545.7484130859375,551.4968858405396,533.6922622821191,543.0866484415843,33032857,498.0986053466797,568.9969049072265,0.0233193019327671
2020-04-13,531.969970703125,543.534047096568,527.8766572382242,538.590786977077,23673784,502.8808135986328,566.1571075439454,-0.025246875762592214
2020-04-15,514.388916015625,552.9283884903713,511.3245453160948,535.50397581859,35321842,506.62291564941404,563.2770465087891,-0.03304896076044006
2020-04-16,522.53076171875,531.2094028193618,512.2192985890305,514.3889290016788,37455706,511.2060485839844,560.4873529052734,0.015828190401516506
2020-04-17,547.5601806640625,550.2443422338717,533.5356723756136,543.9813981126731,33269335,519.8645690917969,558.521235961914,0.04790037406215797
2020-04-20,556.4177856445312,562.3227974116861,537.7184224485133,548.4548889228998,36030932,525.6823944091797,557.0194708251953,0.016176495832342264
2020-04-21,553.5324096679688,560.0860954670951,520.719067459836,541.2972622124873,61371628,532.7013671875,555.6939642333984,-0.005185628588813329
2020-04-22,610.0106201171875,619.5392672425052,581.5590002828025,590.506045286382,142683366,545.5023681640625,555.1320880126954,0.10203234618745571
2020-04-23,613.2764282226562,619.964375961398,605.4029986108286,611.6883400063555,65464502,552.8747436523438,554.4377972412109,0.005353690571553216
2020-04-24,633.8993530273438,668.7705176942633,602.6741016877038,603.9937855419026,134986308,562.9334838867187,554.0727569580079,0.03362745387826993
2020-04-27,639.6030883789062,659.8458058753123,636.5834515375906,641.5043146604703,58482901,572.3189514160156,554.0378631591797,0.008997856401529614
2020-04-28,638.8873901367188,651.1000807620374,622.7826591494636,648.6620459031445,78453401,583.010693359375,553.9712078857422,-0.0011189724615018326
2020-04-29,638.3504638671875,650.294808910519,635.2413590168171,646.3804914740855,37494672,595.4068481445313,553.7403729248047,-0.0008404083064096346
2020-04-30,655.8197021484375,668.7705945819996,643.3162098274911,650.4291011653437,71345899,608.7357421875,553.7019012451171,0.027366218511724272
2020-05-04,642.0411987304688,655.3722993617022,634.100638844068,644.1884921115068,53456868,618.1838439941406,553.3534136962891,-0.021009590551840596
2020-05-05,653.4262084960938,661.6351717003255,647.4093321949724,650.3171635725639,44903763,627.8846862792968,553.1122869873047,0.01773252213119192
2020-05-06,653.4710693359375,664.2970042488814,646.6489200756587,654.9249553114857,40489094,637.8785522460937,552.9557135009766,6.865479110018669e-05
2020-05-07,674.138671875,677.1359713581347,646.4251935136327,650.8987159981552,50026966,644.291357421875,553.3095697021485,0.03162741781371459
2020-05-08,698.6761474609375,706.7731874423821,687.6264818225529,691.1605902433332,84262770,652.8313293457031,553.8285015869141,0.036398261380986785
2020-05-11,705.3863525390625,722.475230772329,703.3732613494101,706.817841580586,67085063,659.980029296875,554.6413421630859,0.00960417083438525
2020-05-12,661.7470703125,701.6062908611085,655.372320874391,700.0181429966896,100683202,662.1944274902344,554.9482269287109,-0.061865787549590934
2020-05-13,675.7872314453125,689.5834112989287,656.6170544616783,689.5834112989287,66430125,665.8844116210937,555.791353149414,0.02121680890280664
2020-05-14,648.4657592773438,675.9000855316069,645.8013667337839,663.3909205122524,49266771,666.8959411621094,556.3063580322265,-0.04042910386089427
2020-05-15,659.0557250976562,662.352366946693,639.0501134333077,652.1011647623593,62152260,667.2195434570312,557.0846063232422,0.01633080184852642
2020-05-18,650.6334228515625,669.2616544401022,644.875632962838,663.842565100716,62796089,668.0787658691406,558.2097625732422,-0.012779347671770469
2020-05-19,636.2501220703125,660.0943173105137,633.6986696085636,657.9718098763932,42315854,666.3611572265625,559.1590899658203,-0.022106612227529965
2020-05-20,647.4497680664062,653.3882265487033,629.0698717548398,636.7469852193168,55320985,665.7590270996094,560.0935247802735,0.017602583650044634
2020-05-21,650.8591918945312,659.9813507786306,643.5207801115246,648.0367074472184,39167981,663.4310791015625,561.1243304443359,0.0052659279472864196
2020-05-22,646.478759765625,658.4234038155449,644.1982199074185,655.6235549779989,37828973,658.2113403320312,562.322964477539,-0.006730230107307222
2020-05-26,643.0918579101562,654.6752261523151,639.5919719683144,653.9752489639468,33216635,651.9818908691407,563.8130877685547,-0.005238999432396918
2020-05-27,652.8010864257812,656.61703698639,637.6501047337907,646.2303793438942,35667956,651.0872924804687,566.9007403564453,0.015097731989916596
2020-05-28,664.8585815429688,668.2455271815335,654.359044090917,657.0685886567666,40126278,649.9944274902343,569.8770294189453,0.018470396829767477
2020-05-29,661.3135986328125,664.7456963541632,656.007389810822,662.9393134152917,40022527,651.2792114257812,573.5925750732422,-0.005331935254455522
2020-06-01,686.5802612304688,694.7089545568629,666.5295002853659,668.358459270055,39943702,654.0316650390625,577.4349932861328,0.038206779128528545
2020-06-02,693.51220703125,695.4541060723005,686.7834677262479,689.1317954741431,22153960,658.3195434570313,582.2177062988281,0.010096337154170465
2020-06-03,696.19921875,704.4859445214847,692.4509368094127,697.712053268636,25381289,664.314453125,587.123052368164,0.0038744980859852785
2020-06-04,713.427490234375,717.8079613810611,695.905665372641,697.2604077785676,34202350,670.9122253417969,592.7263720703126,0.024746180432818843
2020-06-05,714.2854614257812,730.6783035409757,710.6726957536978,720.2916470274907,33076685,677.2548522949219,598.8013623046875,0.0012026046138542412
2020-06-08,708.7760620117188,730.8590266524802,706.7439184964705,730.8590266524802,31414953,683.4845825195313,603.8692218017578,-0.007713161910176902
2020-06-09,694.1670532226562,714.8726404733965,692.29294201313,704.6214390965813,25857161,688.5921020507812,609.8429125976562,-0.02061160015421193
2020-06-10,709.972900390625,713.3146942802665,695.4767428311673,696.8540614537437,22132647,694.3092834472657,615.6017120361328,0.022769515053459255
2020-06-11,694.4154052734375,708.0760679196416,691.3897362648564,707.1954823716251,20385805,697.2649658203125,619.8070623779297,-0.021912801331751997
2020-06-12,717.4918823242188,719.3885695925972,676.0355556331963,677.3903578499011,38548899,702.8827941894531,624.6175421142578,0.03323151657572243
2020-06-15,729.1204223632812,734.7201801016447,704.9827364804711,706.7439674657269,53107403,707.1368103027344,629.6659619140624,0.016207207810342572
2020-06-16,730.54296875,744.4746053701579,715.9112952066059,741.9683047604242,51187003,710.8398864746093,635.0573217773438,0.0019510444956511996
2020-06-17,729.4816284179688,738.5586354119855,723.4980185831051,726.2752912652263,41782053,714.1681274414062,639.6821636962891,-0.001452810275961225
2020-06-18,747.7937622070312,751.9032611106536,725.0786081018418,725.7108570793259,40471557,717.6047546386719,644.9711853027344,0.025102940328704637
2020-06-19,794.5337524414062,807.8105634275437,750.5485488531187,754.1612552518901,105804173,725.6295837402344,651.2218481445312,0.06250385145822435
2020-06-22,788.5501098632812,814.7650899304879,783.5148135515716,800.8560305108304,60198705,733.6069885253906,656.201796875,-0.0075310111870499075
2020-06-23,777.1473999023438,796.4981855618333,774.9797401799827,790.2887548472605,37962078,741.9050231933594,661.078505859375,-0.014460349213462842
2020-06-24,780.2859497070312,800.539956785878,772.9927488541816,783.9212919679801,51586221,748.936328125,665.7692565917969,0.004038551509124133
2020-06-25,775.7925415039062,789.8371168459703,773.6023058840819,779.9020403666149,39679374,757.0740417480469,670.6457080078125,-0.005758668607081963
2020-06-26,786.5179443359375,791.191964274281,775.3861571652835,780.7150021666101,30921913,763.9766479492188,676.0882885742187,0.013825091449370719
2020-06-29,778.1635131835938,785.6599583746296,774.7314151012546,780.3763250508288,25621946,768.88095703125,681.2009436035156,-0.010622047739034635
2020-06-30,769.560546875,786.2243018289918,765.6993848508981,784.4179786955026,30276420,772.78271484375,685.6409509277344,-0.011055473769770563
2020-07-01,784.6889038085938,789.8370801059237,771.3443062214384,776.7408788298266,28464103,778.3034423828125,690.2063732910157,0.019658436227047105
2020-07-02,798.1976928710938,801.485081567038,786.725864305351,790.3306639056832,28789533,783.3438354492188,695.0996789550782,0.017215470993578785
2020-07-03,810.6897583007812,813.0023064997346,801.6664846343106,807.0169546549783,29434266,784.9594360351563,699.11326171875,0.015650340186719847
2020-07-06,839.6640014648438,842.4752438841282,812.5941218966552,818.4434059167284,47016185,790.0708251953125,703.6410131835937,0.03574023585149644
2020-07-07,826.8092041015625,845.3545651080822,819.0329064848479,843.3821557977242,35189589,795.0370056152344,707.4992102050782,-0.015309453949264529
2020-07-08,815.2694091796875,832.0236438535034,811.6419416064408,827.0812567649883,26204095,798.5353515625,711.0125366210938,-0.013957022810860642
2020-07-09,827.1719360351562,832.0463193953086,809.9415548565688,820.257139626406,36418942,803.673291015625,714.7782275390625,0.014599501369056522
2020-07-10,851.566650390625,854.5366284923592,827.1720037016764,829.0991372532924,43759967,810.1781616210938,719.0425512695313,0.02949170939284862
2020-07-13,877.3895263671875,883.1480789947044,861.519399808991,863.0383906975433,69608392,820.1007629394531,723.4739477539063,0.03032396344398558
2020-07-14,869.2277221679688,880.4274760561808,855.7608159923657,876.9360759259316,67331128,830.06748046875,728.0176782226563,-0.009302372496982625
2020-07-15,836.127197265625,897.2497559791088,815.2694086530637,878.7270634112394,139669773,835.2113098144531,731.6716979980469,-0.03808038337731179
2020-07-16,835.8551635742188,847.4629995747565,821.8214399496038,837.4874939607755,60961724,838.9770568847656,735.3193798828125,-0.0003253496505027931
2020-07-17,866.8245849609375,870.5880602549773,833.4066658222266,836.5807150882681,49726765,844.5905395507813,739.1730981445312,0.037051181516053244
2020-07-20,870.5426635742188,876.0292010321696,861.3607145700907,869.5904907729887,36592938,847.6784057617188,742.6104284667969,0.004289309137959885
2020-07-21,893.9623413085938,896.4335647635958,878.0696081666921,879.2031842537095,42173371,854.3937194824218,746.3819482421875,0.026902389411014083
2020-07-22,908.6762084960938,911.396779069445,889.0426086044159,899.154121537288,59771457,863.7343994140625,751.3205310058594,0.016459157738078378
2020-07-23,933.0708618164062,943.0009721388484,902.9403320698102,908.6535486923684,58333751,874.3242919921875,756.4662036132812,0.02684636517631178
2020-07-24,973.1314697265624,980.771759562493,933.0708309814,933.161502678431,120597372,886.4807739257812,762.9595178222656,0.04293415382425536
2020-07-27,977.6885375976562,997.0047292904096,964.8564523008032,987.9361194684092,80304827,896.5106750488281,769.3321740722656,0.0046828902495306135
2020-07-28,987.437255859375,994.8281988813133,975.1719293046234,977.688488793748,55114422,908.3316284179688,776.0682507324219,0.009971190094621551
2020-07-29,950.6865844726562,989.7496529141752,938.8066737106664,987.527896595166,72663399,919.7875671386719,782.3569799804687,-0.037218234544669215
2020-07-30,956.218505859375,970.2068340349582,939.5095470108182,951.7522051350378,72857444,931.8239013671875,788.5323547363281,0.005818869727489906
2020-07-31,937.2877807617188,965.3551702803412,930.803734578172,958.7804523943248,74958061,938.8702209472656,794.2609265136718,-0.019797488734693336
2020-08-03,910.9434204101562,932.7081063612384,908.2681255398212,930.1235431581412,46715383,942.9102966308594,799.5502197265625,-0.028107013547272408
2020-08-04,975.1492919921876,982.5855710982528,906.9759241686488,916.203269273076,92041055,951.0289916992188,806.1913684082032,0.07048283147280698
2020-08-05,964.198974609375,995.735098044294,960.5035028675138,983.492498618024,74549993,956.5812683105469,812.419326171875,-0.011229375309745215
2020-08-06,967.6676635742188,982.9029683593162,955.7424156591268,978.0512526670176,49322975,960.0409484863281,818.4755078125,0.003597482528177265
2020-08-07,973.2675170898438,978.41397565965,961.3649973579196,965.7178986420788,32984416,960.0545532226563,824.7145861816406,0.0057869594349584386
2020-08-10,961.2062377929688,981.6786719644748,955.878435955378,979.0034370833714,26958997,958.4063232421875,830.2071057128907,-0.012392563283052271
2020-08-11,967.5316162109376,979.4115277857608,952.3643158271036,967.9850346750636,46828306,956.4157592773438,835.6874938964844,0.006580667258769157
2020-08-12,964.7202758789062,972.6100326976988,955.2889203298892,961.7276301780032,30264617,957.8191284179687,841.0579150390626,-0.002905683168309414
2020-08-13,962.2037963867188,969.8440862641454,956.7399270901238,964.901699164418,24830322,958.4176574707031,846.0334411621094,-0.00260850689584069
2020-08-14,958.4629516601562,978.051155897154,947.3312021833392,962.4304379520208,33224635,960.5351745605469,850.9169909667969,-0.003887788367298306
2020-08-17,948.2835693359376,954.472872816078,938.6481413156388,954.472872816078,30979066,964.269189453125,855.7071411132813,-0.010620527696544646
2020-08-18,960.6168212890624,967.758357006886,944.202605110072,945.4041850307872,30547672,962.8159423828125,861.0361364746094,0.013005869079605992
2020-08-19,966.5114135742188,976.6909912734272,961.8864371354928,970.7963711289711,34087543,963.0471862792969,866.1669067382812,0.006136257615441565
2020-08-20,950.8679809570312,963.0426353692126,946.7644269706008,961.2742374165048,22537845,961.3672180175781,871.2959582519532,-0.016185460820723363
2020-08-21,943.9758911132812,962.1811736813316,941.7767425366628,960.3674398053548,25280895,958.4380554199219,875.8256384277344,-0.00724820898566092
2020-08-24,950.278564453125,954.2460509640608,938.829403447164,948.3061551600296,32717218,957.3452880859375,880.2488012695312,0.006676731258899782
2020-08-25,944.0892333984376,957.329460746316,942.2301636663344,954.9262408658594,19388008,955.0010498046875,884.5197265625,-0.006513175490019951
2020-08-26,969.1187133789062,973.9477614578252,928.1739003325988,945.404283537281,59870421,955.4408935546875,889.3124682617188,0.02651177356442247
2020-08-27,957.0120849609376,974.8772893855144,953.679360076086,973.9703924276448,28085062,954.9217224121094,893.4968347167969,-0.012492410115328312
2020-08-28,959.5285034179688,967.1234569866326,955.0395350457942,961.2741733617808,27166900,955.0282775878907,896.7967297363281,0.002629453166345108
2020-08-31,943.4544677734376,985.7595929976718,934.2271229260566,985.7595929976718,62076132,954.5453674316407,899.8948168945312,-0.01675201475232191
2020-09-01,946.4244995117188,962.362570645799,935.1566809280984,952.2057203430994,38616258,953.1261352539062,903.2803588867188,0.0031480392957281556
2020-09-02,964.992431640625,969.4360647157956,945.4042254030268,948.5782147606872,26949439,952.9742370605469,906.9744885253906,0.01961903156404543
2020-09-03,957.692138671875,969.776061077776,953.5659168770756,964.9016778588206,18586429,953.6566528320312,910.61248046875,-0.007565129766187395
2020-09-04,941.89013671875,950.8227390952824,939.6003163077193,944.7467752348788,28475945,953.4480773925782,913.7199243164063,-0.0165000852727466
2020-09-07,944.338623046875,954.812883543974,926.9268380792043,944.950776960414,21926473,952.8540832519532,917.0434265136719,0.002599545565531436
2020-09-08,955.425048828125,961.7276915670202,943.3637335909106,948.578195976428,27397082,953.9876647949219,920.7607165527344,0.011739883883473912
2020-09-09,980.0236206054688,982.948262646231,943.7944599093832,945.4041824088742,55310877,955.0781555175781,924.6674108886718,0.025746207729758774
2020-09-10,1049.239990234375,1063.2737150092375,986.3716977544624,989.8858259136236,140304404,964.3009460449218,929.6882568359375,0.07062724629651651
2020-09-11,1051.84716796875,1060.0542764084548,1037.042733630043,1048.3331597240744,59470807,973.5328125,934.5114050292968,0.002484824976783928
2020-09-14,1044.0482177734375,1070.0978626809967,1034.7301409572988,1054.2277957192978,44063445,983.5921875,938.5990893554688,-0.007414527920794112
2020-09-15,1051.4390869140625,1054.5677402462595,1037.518702454909,1048.3104335818653,27178393,994.0936462402344,943.0916870117187,0.007079049621278033
2020-09-16,1054.0234375,1074.3371332294498,1047.6754600565869,1051.9602968564543,33952295,1002.9967468261718,947.866767578125,0.0024579175513841367
2020-09-17,1042.3250732421875,1058.1724701146538,1039.19630018031,1051.960379773106,25828669,1011.4600402832032,952.1698303222656,-0.011098770522180668
2020-09-18,1045.4765625,1051.711201831605,1032.2590023834323,1049.35337764639,33074915,1021.8186828613282,956.0480285644531,0.0030235186111466916
2020-09-21,1022.8729858398438,1059.2154272970995,1019.0187188937508,1042.8918823662696,33627381,1029.672119140625,958.9576977539062,-0.02162035713751953
2020-09-22,1002.6045532226562,1032.4629482711289,998.2515919553894,1032.4629482711289,34792254,1034.390069580078,961.625234375,-0.019815199832016073
